step,check,result
checks,"helpers: lp_assert passes a true statement",pass
checks,"helpers: lp_assert stops with r(9) on a false statement",pass
checks,"helpers: lp_close stops with r(9) when two numbers differ by more than tol",pass
checks,"helpers: lp_close accepts a difference below tol",pass
checks,"helpers: lp_sha256 returns the SHA-256 of a known text",pass
checks,"helpers: lp_json_get reads a top-level string",pass
checks,"helpers: lp_json_get reads a nested number",pass
checks,"helpers: lp_json_get reads a boolean",pass
checks,"helpers: lp_json_get reads a negative number exactly",pass
checks,"helpers: lp_json_get reads an array",pass
checks,"helpers: lp_json_get finds the direction and the number in a hypothesis",pass
checks,"helpers: lp_json_get reports a missing key",pass
checks,"data: hand_table.csv has the SHA-256 in PROVENANCE.md",pass
checks,"data: hand_table.csv has 12 rows and the variables t, s, v, y",pass
checks,"data: hand_table.csv dates run t = 1, ..., 12",pass
checks,"data: interventions exactly at t = 1, 5, 10, 12",pass
checks,"data: v is rounded to one decimal",pass
checks,"data: y follows y_t = 0.5 y_(t-1) + s_t + v_t with y_0 = 0 (1e-6)",pass
checks,"data: onedraw_rho05_seed2.csv has the SHA-256 in PROVENANCE.md",pass
checks,"data: onedraw_rho05_seed2.csv has 200 rows and the variables t, s, v, y",pass
checks,"data: onedraw_rho05_seed2.csv dates run t = 1, ..., 200",pass
checks,"data: y follows y_t = 0.5 y_(t-1) + s_t + v_t (1e-5, float storage)",pass
checks,"data: s in onedraw_rho05 has mean near 0 and standard deviation near 1",pass
checks,"data: onedraw_rho09_seed2.csv has the SHA-256 in PROVENANCE.md",pass
checks,"data: onedraw_rho09_seed2.csv has 200 rows and the variables t, s, v, y",pass
checks,"data: onedraw_rho09_seed2.csv dates run t = 1, ..., 200",pass
checks,"data: y follows y_t = 0.9 y_(t-1) + s_t + v_t (1e-5, float storage)",pass
checks,"data: s in onedraw_rho09 has mean near 0 and standard deviation near 1",pass
checks,"data: make_sim_data.do regenerates hand_table.csv byte for byte",pass
checks,"data: make_sim_data.do regenerates onedraw_rho05_seed2.csv byte for byte",pass
checks,"data: make_sim_data.do regenerates onedraw_rho09_seed2.csv byte for byte",pass
checks,"vendor: SSBias_IntcpYLagdiffN_95.do is the file of JEL-Code commit 655696c (SHA-256)",pass
checks,"vendor: all-simulate.do is the file of JEL-Code commit 655696c (SHA-256)",pass
checks,"vendor: SSBias_IntcpYLagdiffN_95.dta is the file of JEL-Code commit 655696c (SHA-256)",pass
checks,"vendor: LICENSE is the file of JEL-Code commit 655696c (SHA-256)",pass
checks,"vendor: the authors' shipped means hold 11 horizons with t, rl, rt",pass
checks,"vendor: horizons 0 to 10 and true response 0.95^h (1e-6)",pass
checks,"benchmark: REP01-levels-lp.csv has the SHA-256 in PROVENANCE.md",pass
checks,"benchmark: REP01-levels-lp.csv holds 11 REP01 rows",pass
checks,"benchmark: horizons 0 to 10 with n = 99 - h",pass
checks,"benchmark: every horizon has a mean",pass
checks,"benchmark: REP01-author-R200-v195.csv has the SHA-256 in PROVENANCE.md",pass
checks,"benchmark: REP01-author-R200-v195.csv holds horizons 0 to 10 with rl and rt",pass
checks,"handoff: l01-explorer-handoff.json is a Lecture 01 record",pass
checks,"handoff: the record holds thirteen Lab 3 estimates",pass
checks,"data: RZDAT.xlsx is the file of the February 2018 package (SHA-256)",pass
checks,"data: sheet rzdat has quarter, rgdp, rgdp_pott6, pgdp, news, ngov",pass
checks,"data: 508 quarters from 1889Q1 to 2015Q4",pass
checks,"data: news is recorded in 504 of those quarters",pass
rep01,"REP01 step 1: the h = 0 regression has T_0 = 99 rows",pass
rep01,"REP01 step 1: draw 1 at h = 0",pass
rep01,"REP01 step 2: T_h = 99 - h in draw 1",pass
rep01,"REP01 step 2: draw 1 at h = 0",pass
rep01,"REP01 step 2: draw 1 at h = 1",pass
rep01,"REP01 step 2: draw 1 at h = 2",pass
rep01,"REP01 step 2: draw 1 at h = 3",pass
rep01,"REP01 step 2: draw 1 at h = 4",pass
rep01,"REP01 step 2: draw 1 at h = 5",pass
rep01,"REP01 step 2: draw 1 at h = 6",pass
rep01,"REP01 step 2: draw 1 at h = 7",pass
rep01,"REP01 step 2: draw 1 at h = 8",pass
rep01,"REP01 step 2: draw 1 at h = 9",pass
rep01,"REP01 step 2: draw 1 at h = 10",pass
rep01,"REP01: every draw has T_h = 99 - h rows",pass
rep01,"REP01: R draws at each of 11 horizons",pass
rep01,"REP01 benchmark file: 11 rows of the levels series",pass
rep01,"REP01: the benchmark's derived row count is T_h = 99 - h",pass
rep01,"REP01: the true response equals the authors' rt (1e-6)",pass
rep01,"REP01: the true response equals the benchmark's true_response (1e-6)",pass
rep01,"REP01 exact: first 500 draws against the published benchmark at h = 0",pass
rep01,"REP01 exact: first 500 draws against the published benchmark at h = 1",pass
rep01,"REP01 exact: first 500 draws against the published benchmark at h = 2",pass
rep01,"REP01 exact: first 500 draws against the published benchmark at h = 3",pass
rep01,"REP01 exact: first 500 draws against the published benchmark at h = 4",pass
rep01,"REP01 exact: first 500 draws against the published benchmark at h = 5",pass
rep01,"REP01 exact: first 500 draws against the published benchmark at h = 6",pass
rep01,"REP01 exact: first 500 draws against the published benchmark at h = 7",pass
rep01,"REP01 exact: first 500 draws against the published benchmark at h = 8",pass
rep01,"REP01 exact: first 500 draws against the published benchmark at h = 9",pass
rep01,"REP01 exact: first 500 draws against the published benchmark at h = 10",pass
rep01,"REP01 exact: first 200 draws against the authors' script at 200 draws at h = 0",pass
rep01,"REP01 exact: first 200 draws against the authors' script at 200 draws at h = 1",pass
rep01,"REP01 exact: first 200 draws against the authors' script at 200 draws at h = 2",pass
rep01,"REP01 exact: first 200 draws against the authors' script at 200 draws at h = 3",pass
rep01,"REP01 exact: first 200 draws against the authors' script at 200 draws at h = 4",pass
rep01,"REP01 exact: first 200 draws against the authors' script at 200 draws at h = 5",pass
rep01,"REP01 exact: first 200 draws against the authors' script at 200 draws at h = 6",pass
rep01,"REP01 exact: first 200 draws against the authors' script at 200 draws at h = 7",pass
rep01,"REP01 exact: first 200 draws against the authors' script at 200 draws at h = 8",pass
rep01,"REP01 exact: first 200 draws against the authors' script at 200 draws at h = 9",pass
rep01,"REP01 exact: first 200 draws against the authors' script at 200 draws at h = 10",pass
rep01,"REP01 statistical: mean of 500 draws within 3 Monte Carlo SE of the 10,000-draw mean at h = 0 (z =  1.00)",pass
rep01,"REP01 statistical: mean of 500 draws within 3 Monte Carlo SE of the 10,000-draw mean at h = 1 (z =  0.42)",pass
rep01,"REP01 statistical: mean of 500 draws within 3 Monte Carlo SE of the 10,000-draw mean at h = 2 (z =  1.71)",pass
rep01,"REP01 statistical: mean of 500 draws within 3 Monte Carlo SE of the 10,000-draw mean at h = 3 (z =  0.79)",pass
rep01,"REP01 statistical: mean of 500 draws within 3 Monte Carlo SE of the 10,000-draw mean at h = 4 (z =  1.15)",pass
rep01,"REP01 statistical: mean of 500 draws within 3 Monte Carlo SE of the 10,000-draw mean at h = 5 (z =  0.77)",pass
rep01,"REP01 statistical: mean of 500 draws within 3 Monte Carlo SE of the 10,000-draw mean at h = 6 (z =  0.83)",pass
rep01,"REP01 statistical: mean of 500 draws within 3 Monte Carlo SE of the 10,000-draw mean at h = 7 (z =  0.89)",pass
rep01,"REP01 statistical: mean of 500 draws within 3 Monte Carlo SE of the 10,000-draw mean at h = 8 (z =  0.04)",pass
rep01,"REP01 statistical: mean of 500 draws within 3 Monte Carlo SE of the 10,000-draw mean at h = 9 (z =  0.31)",pass
rep01,"REP01 statistical: mean of 500 draws within 3 Monte Carlo SE of the 10,000-draw mean at h = 10 (z =  0.14)",pass
rep01,"REP01 cross-check: authors' script against this file at R = 500 and h = 0",pass
rep01,"REP01 cross-check: authors' script against this file at R = 500 and h = 1",pass
rep01,"REP01 cross-check: authors' script against this file at R = 500 and h = 2",pass
rep01,"REP01 cross-check: authors' script against this file at R = 500 and h = 3",pass
rep01,"REP01 cross-check: authors' script against this file at R = 500 and h = 4",pass
rep01,"REP01 cross-check: authors' script against this file at R = 500 and h = 5",pass
rep01,"REP01 cross-check: authors' script against this file at R = 500 and h = 6",pass
rep01,"REP01 cross-check: authors' script against this file at R = 500 and h = 7",pass
rep01,"REP01 cross-check: authors' script against this file at R = 500 and h = 8",pass
rep01,"REP01 cross-check: authors' script against this file at R = 500 and h = 9",pass
rep01,"REP01 cross-check: authors' script against this file at R = 500 and h = 10",pass
rep01,"REP01 cross-check: the authors' true response equals 0.95^h (1e-6)",pass
sta01,"Task 1: T_h = 11 - h at h = 0, 1, 2 (T = 12, p = 1)",pass
sta01,"Task 1: every row is an intervention row or a comparison row",pass
sta01,"Task 1: the rows run from t = 2 to t = 12 - h",pass
sta01,"Task 1: 3 intervention rows at h = 0 and 2 at h = 1 and h = 2",pass
sta01,"Task 2: the slope by hand equals the difference in means (1e-6)",pass
sta01,"Task 2: regress returns the slope computed by hand (1e-6)",pass
sta01,"Task 2: the regressions with and without y_(t-1) use the same rows",pass
